participant_auc_l5,participant_auc_l5_scale,participant_l5_min,participant_l5_max,REC,LDI
0.04426260769033685,0.06310319074072628,0.175080104300118,0.8765122691521265,0.453125,0.125
0.11139134372417407,0.16859230401477582,0.24999999999977218,0.9107142857148038,0.65625,0.640625
0.43472059948623776,0.5347403472523473,0.05653397416062045,0.8694903963194489,0.921875,0.0625
0.20319775639935822,0.6931186155589917,0.2941058767412892,0.5872703536980677,0.296875,-0.03125
0.19236297737055424,0.26947656993847524,0.23460924785768122,0.9484485898623425,0.734375,0.390625
0.4392671300923099,0.5631031658509705,0.12588547780884074,0.905968341360997,0.875,0.25
0.29766705994462395,0.4611780210958603,0.24588513013971924,0.8913344931369012,0.703125,0.109375
0.11522901097192642,0.15692064957218602,0.204069890141777,0.9383837697113312,0.796875,0.484375
0.5251394799772761,0.7212673077571715,0.19431693423183138,0.9223957953273552,0.78125,0.015625
0.39601626266106926,0.501492348199186,0.1535750688507035,0.9432506523030295,0.84375,0.203125
0.18602823492193454,0.3214120016099027,0.31640873393112523,0.8951930792267211,0.546875,0.28125
0.5440522431704462,0.6409432836667528,0.08284691403740363,0.9316774689938335,0.859375,0.109375
0.14525172570114817,0.1738684142723136,0.09433727765790523,0.9297490820909644,0.90625,0.546875
0.4237664158481958,0.6074690499678153,0.20260899045774983,0.9002024166094981,0.734375,0.1875
-0.00017854698219112435,0.0029767832998216113,0.6406249999986718,0.5806451612909553,-0.03125,0.125
0.26094739498464814,0.5369428155360854,0.4427899133012887,0.9287772241178371,0.453125,0.0
-0.021400354675861728,0.2610987633535018,0.9821041254177042,0.9001414443195644,-0.046875,0.0
0.423192009741813,0.48148617688989725,0.07119091004719957,0.9501195897351015,0.9375,0.40625
0.4250255818331441,0.5357630217542778,0.1158483328389206,0.9091572484887164,0.84375,0.15625
0.22324365890137376,0.28358247290855754,0.0688395397100744,0.8560661147930828,0.859375,0.375
0.21113636375963352,0.25263852541524345,0.09686419864776485,0.9325893257343963,0.890625,0.640625
