participant_auc_l5,participant_auc_l5_scale,participant_l5_min,participant_l5_max,REC,LDI
0.30565911547203184,0.4589057326311038,0.228985735878534,0.8950465273172392,0.7222222222222222,0.3333333333333333
0.3506034917136144,0.46330346731135025,0.15562736036463032,0.9123743231021249,0.6944444444444444,0.19444444444444442
0.28253409394311246,0.32539874880966724,0.08281497405765037,0.9510853499476719,0.8888888888888888,0.4444444444444445
0.23301073963281052,0.29142239592611385,0.0856427657052311,0.8852063644201603,0.7777777777777777,0.5555555555555556
0.35676924255499215,0.5116560476551426,0.22924426570608325,0.926527614920897,0.7222222222222222,0.16666666666666666
0.33749475341819457,0.4084488882144055,0.08570898269472571,0.9119929148009008,0.9444444444444444,0.0
0.4347280907422346,0.5103114956656943,0.062398507424510585,0.9142862160781002,0.861111111111111,-0.19444444444444445
0.2622045153600489,0.4384237079167478,0.160607120999938,0.7586690200837323,0.6111111111111112,0.08333333333333331
0.31750082007328495,0.39945000792445007,0.1843193578135388,0.979164304051055,0.7777777777777778,0.4722222222222222
0.44807029864808084,0.5322708217305191,0.1261003710924492,0.9679092404783654,0.8888888888888888,0.1388888888888889
0.4065208161416732,0.5847858860814615,0.28849413103782284,0.9836559429373738,0.7222222222222222,0.16666666666666669
0.2687280842816569,0.34127335133340736,0.19266153265034913,0.980089215566976,0.8055555555555556,0.33333333333333337
0.4814977653455711,0.5436277368064606,0.07268863067781006,0.9584009163940028,0.9166666666666666,0.0
0.353718644202465,0.3702732021894792,0.00705927800713968,0.9623502418437753,0.9444444444444444,0.41666666666666663
0.36514969326486185,0.42138288005694907,0.06147396977637498,0.9280248206688284,0.861111111111111,0.16666666666666666
0.2838511137996527,0.3615140996616637,0.09754278689325346,0.8827157969233056,0.8888888888888888,0.19444444444444442
0.23659858790955476,0.33452140579926715,0.1684187622506892,0.875693644538874,0.7222222222222223,0.2777777777777778
0.390972685927677,0.4734022962532421,0.14555467691009571,0.9714329817304209,0.8888888888888888,0.3611111111111111
0.42179225114877306,0.5816589087598182,0.17105891213603797,0.8962128551025367,0.7222222222222222,0.0
0.2478772188492632,0.27871709465823835,0.0342807583907937,0.923631370893443,0.9444444444444444,0.36111111111111116
0.19902844903702366,0.24074979928064524,0.1147564059220616,0.9414588564815886,0.8888888888888888,0.5555555555555555
0.24982251714772444,0.311395280199521,0.1556399708525965,0.9579081265794754,0.75,0.4444444444444445
0.381361066368701,0.39331415685154536,0.006269279626550217,0.9758785848737143,1.0,0.3055555555555556
0.3239541872220927,0.3755742077281299,0.07370594191959345,0.9362630093543097,0.9166666666666666,0.3888888888888889
0.3660411711401522,0.4763660524186329,0.231588919053612,0.9999920604648589,0.7777777777777778,0.25
0.6037980773294211,0.6978007877419106,0.1320915063514222,0.9973786885045364,0.8888888888888888,0.08333333333333334
0.36958883062354864,0.42499833999229153,0.08825564279294906,0.9578798173962008,0.8888888888888888,0.25
